pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url
31686090,,Editorial: Can Digital Technology Advance the Development of Treatments for Alzheimer's Disease?,J Prev Alzheimers Dis,2019,6,4,217-220,10.14283/jpad.2019.32,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31686090
39273645,,Alzheimer's Disease Pathology and Assistive Nanotheranostic Approaches for Its Therapeutic Interventions.,Int J Mol Sci,2024,25,17,,10.3390/ijms25179690,,,,,2024-09-07T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39273645
39468028,,The link between amyloid β and ferroptosis pathway in Alzheimer's disease progression.,Cell Death Dis,2024,15,10,782,10.1038/s41419-024-07152-0,,,,,2024-10-28T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39468028
38509587,,Ultrasensitive and Multiple Biomarker Discrimination for Alzheimer's Disease via Plasmonic & Microfluidic Sensing Technologies.,Adv Sci (Weinh),2024,11,24,e2308783,10.1002/advs.202308783,,,,,2024-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38509587
35542758,,IoT-Based Wearable Devices for Patients Suffering from Alzheimer Disease.,Contrast Media Mol Imaging,2022,2022,,3224939,10.1155/2022/3224939,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35542758
27827552,,Alzheimer's disease: cerebrolysin and nanotechnology as a therapeutic strategy.,Neurodegener Dis Manag,2016,6,6,453-456,10.2217/nmt-2016-0037,,,,,2016-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/27827552
35680997,,CDiP technology for reverse engineering of sporadic Alzheimer's disease.,J Hum Genet,2023,68,3,231-235,10.1038/s10038-022-01047-8,,,,,2023-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35680997
31462368,,Nanomedicine for the Treatment of Alzheimer's Disease.,J Biomed Nanotechnol,2019,15,10,1997-2024,10.1166/jbn.2019.2837,,,,,2019-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31462368
26035610,,Still alice.,Gerontologist,2015,55,2,328-9,10.1093/geront/gnv017,,,,,2015-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/26035610
32437744,,Artificial intelligence and neuropsychological measures: The case of Alzheimer's disease.,Neurosci Biobehav Rev,2020,114,,211-228,10.1016/j.neubiorev.2020.04.026,,,,,2020-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32437744
36822878,,Classification and staging of Parkinson's disease using video-based eye tracking.,Parkinsonism Relat Disord,2023,110,,105316,10.1016/j.parkreldis.2023.105316,,,,,2023-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36822878
39443183,,"Now and future: Strategies for diagnosis, prevention and therapies for Alzheimer's disease.",Sci Bull (Beijing),2024,69,23,3777-3784,10.1016/j.scib.2024.09.042,,,,,2024-12-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39443183
34809540,,Theranostic Applications of Nanomaterials in Alzheimer's Disease: A Multifunctional Approach.,Curr Pharm Des,2022,28,2,116-132,10.2174/1381612827666211122153946,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34809540
36120780,,Digital Technologies to Prevent Social Isolation and Loneliness in Dementia: A Systematic Review.,J Alzheimers Dis,2022,90,2,513-528,10.3233/JAD-220438,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36120780
37250469,,Therapeutic Potential of Nanomedicine in Management of Alzheimer's Disease and Glioma.,Int J Nanomedicine,2023,18,,2737-2756,10.2147/IJN.S405454,,,,,2023-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37250469
34750588,,Dissecting the complexities of Alzheimer disease with in vitro models of the human brain.,Nat Rev Neurol,2022,18,1,25-39,10.1038/s41582-021-00578-6,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34750588
35257810,,Versatile nanomaterials for Alzheimer's disease: Pathogenesis inspired disease-modifying therapy.,J Control Release,2022,345,,38-61,10.1016/j.jconrel.2022.02.034,,,,,2022-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35257810
29678927,,Digital technologies for the assessment of cognition: a clinical review.,Evid Based Ment Health,2018,21,2,67-71,10.1136/eb-2018-102890,,,,,2018-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/29678927
34300547,,Review of Technology-Supported Multimodal Solutions for People with Dementia.,Sensors (Basel),2021,21,14,,10.3390/s21144806,,,,,2021-07-14T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34300547
28940133,,Ethical Design of Intelligent Assistive Technologies for Dementia: A Descriptive Review.,Sci Eng Ethics,2018,24,4,1035-1055,10.1007/s11948-017-9976-1,,,,,2018-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28940133
31906949,,Clinical trials of new drugs for Alzheimer disease.,J Biomed Sci,2020,27,1,18,10.1186/s12929-019-0609-7,,,,,2020-01-06T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31906949
31189781,,Plant-based vaccines for Alzheimer's disease.,Proc Jpn Acad Ser B Phys Biol Sci,2019,95,6,290-294,10.2183/pjab.95.020,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31189781
34275100,,Role of TREM2 in Alzheimer's Disease: A Long Road Ahead.,Mol Neurobiol,2021,58,10,5239-5252,10.1007/s12035-021-02477-9,,,,,2021-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34275100
35475733,,6G and Artificial Intelligence Technologies for Dementia Care: Literature Review and Practical Analysis.,J Med Internet Res,2022,24,4,e30503,10.2196/30503,,,,,2022-04-27T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35475733
38475108,,Machine Learning and Digital Biomarkers Can Detect Early Stages of Neurodegenerative Diseases.,Sensors (Basel),2024,24,5,,10.3390/s24051572,,,,,2024-02-29T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38475108
37520470,,Eyes on dementia: an overview of the interplay between eye movements and cognitive decline.,J Med Life,2023,16,5,642-662,10.25122/jml-2023-0217,,,,,2023-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37520470
31451912,,Artificial intelligence as an emerging technology in the current care of neurological disorders.,J Neurol,2021,268,5,1623-1642,10.1007/s00415-019-09518-3,,,,,2021-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31451912
37414222,,Emerging nanotechnology for Alzheimer's disease: From detection to treatment.,J Control Release,2023,360,,392-417,10.1016/j.jconrel.2023.07.004,,,,,2023-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37414222
33463089,,Functional nanoassemblies for the diagnosis and therapy of Alzheimer's diseases.,Wiley Interdiscip Rev Nanomed Nanobiotechnol,2021,13,4,e1696,10.1002/wnan.1696,,,,,2021-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33463089
37762346,,Advancements in the Application of Nanomedicine in Alzheimer's Disease: A Therapeutic Perspective.,Int J Mol Sci,2023,24,18,,10.3390/ijms241814044,,,,,2023-09-13T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37762346
30323557,,Copper-64: a real theranostic agent.,Drug Des Devel Ther,2018,12,,3235-3245,10.2147/DDDT.S170879,,,,,2018-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/30323557
37972072,,Explainable AI-based Alzheimer's prediction and management using multimodal data.,PLoS One,2023,18,11,e0294253,10.1371/journal.pone.0294253,,,,,2023-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37972072
32473177,,Neurotherapeutic applications of nanomedicine for treating Alzheimer's disease.,J Control Release,2020,325,,25-37,10.1016/j.jconrel.2020.05.044,,,,,2020-09-10T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32473177
28666544,,Advances in Alzheimer's Diagnosis and Therapy: The Implications of Nanotechnology.,Trends Biotechnol,2017,35,10,937-953,10.1016/j.tibtech.2017.06.002,,,,,2017-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28666544
25039777,,Nanotechnology and Alzheimer's disease: what has been done and what to do.,Curr Med Chem,2014,21,36,4169-85,10.2174/0929867321666140716100056,,,,,2014-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/25039777
39625718,,Recent Progress in Nanomedicine for the Diagnosis and Treatment of Alzheimer's Diseases.,ACS Nano,2024,18,50,33792-33826,10.1021/acsnano.4c11966,,,,,2024-12-17T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39625718
33078687,,Dementia 360 ECHO: Using technology to facilitate diagnosis and treatment.,Gerontol Geriatr Educ,2022,43,2,202-208,10.1080/02701960.2020.1835658,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33078687
37737824,,Chemical Synthesis of Microtubule-Associated Protein Tau.,J Am Chem Soc,2023,145,39,21514-21526,10.1021/jacs.3c07338,,,,,2023-10-04T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37737824
34781953,,Design of a seniors and Alzheimer's disease caring service platform.,BMC Med Inform Decis Mak,2021,21,Suppl 10,273,10.1186/s12911-021-01626-3,,,,,2021-11-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34781953
40935375,,[Digital Technologies for Enhancing Dementia Screening].,Brain Nerve,2025,77,9,981-985,10.11477/mf.188160960770090981,,,,,2025-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40935375
38067098,,The Major Hypotheses of Alzheimer's Disease: Related Nanotechnology-Based Approaches for Its Diagnosis and Treatment.,Cells,2023,12,23,,10.3390/cells12232669,,,,,2023-11-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38067098
33892789,,Remote monitoring technologies in Alzheimer's disease: design of the RADAR-AD study.,Alzheimers Res Ther,2021,13,1,89,10.1186/s13195-021-00825-4,,,,,2021-04-23T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33892789
38191034,,Nanotechnology in the diagnostic and therapy for Alzheimer's disease.,Biochim Biophys Acta Gen Subj,2024,1868,3,130559,10.1016/j.bbagen.2024.130559,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38191034
30826404,,Nanoparticle formulations in the diagnosis and therapy of Alzheimer's disease.,Int J Biol Macromol,2019,130,,515-526,10.1016/j.ijbiomac.2019.02.156,,,,,2019-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/30826404
34285915,,The Potential Benefits of Nanotechnology in Treating Alzheimer's Disease.,Biomed Res Int,2021,2021,,5550938,10.1155/2021/5550938,,,,,2021-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34285915
39928936,,Use of Digital Health Technologies for Dementia Care: Bibliometric Analysis and Report.,JMIR Ment Health,2025,12,,e64445,10.2196/64445,,,,,2025-02-10T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39928936
38324244,,Artificial Intelligence and Technology Collaboratories: Innovating aging research and Alzheimer's care.,Alzheimers Dement,2024,20,4,3074-3079,10.1002/alz.13710,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38324244
36191675,,Neuroprotective effect of phytoconstituents via nanotechnology for treatment of Alzheimer diseases.,J Control Release,2022,351,,638-655,10.1016/j.jconrel.2022.09.058,,,,,2022-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36191675
39988783,,Internet of Medical Things (IoMT) for Alzheimer Patient's Outcome.,CNS Neurol Disord Drug Targets,2025,24,7,491-493,10.2174/0118715273371149250218081425,,,,,2025-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39988783
25877087,,Biomedical applications of gold nanoparticles.,Curr Top Med Chem,2015,15,16,1605-13,10.2174/1568026615666150414144750,,,,,2015-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/25877087
35105196,,Ethical considerations in design and implementation of home-based smart care for dementia.,Nurs Ethics,2022,29,4,1035-1046,10.1177/09697330211062980,,,,,2022-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35105196
37138478,,Emerging Nanotechnology for the Treatment of Alzheimer's Disease.,CNS Neurol Disord Drug Targets,2024,23,6,687-696,10.2174/1871527322666230501232815,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37138478
26938815,,Treatment of Cognitive Deficits in Alzheimer's disease: A psychopharmacological review.,Psychiatr Danub,2016,28,1,2-12,,,,,,2016-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/26938815
28043897,,Natural products against Alzheimer's disease: Pharmaco-therapeutics and biotechnological interventions.,Biotechnol Adv,2017,35,2,178-216,10.1016/j.biotechadv.2016.12.005,,,,,2017-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28043897
33582451,,The application of multifunctional nanomaterials in Alzheimer's disease: A potential theranostics strategy.,Biomed Pharmacother,2021,137,,111360,10.1016/j.biopha.2021.111360,,,,,2021-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33582451
25274711,,A systematic review of the use of technology for reminiscence therapy.,Health Educ Behav,2014,41,1 Suppl,51S-61S,10.1177/1090198114537067,,,,,2014-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/25274711
35342749,,Applications and Outcomes of Internet of Things for Patients with Alzheimer's Disease/Dementia: A Scoping Review.,Biomed Res Int,2022,2022,,6274185,10.1155/2022/6274185,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35342749
39400101,,Ocular Biomarkers in Alzheimer's Disease: Insights into Early Detection Through Eye-Based Diagnostics - A Literature Review.,Clin Ter,2024,175,5,352-361,10.7417/CT.2024.5125,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39400101
38849023,,Carbon dots as dual inhibitors of tau and amyloid-beta aggregation for the treatment of Alzheimer's disease.,Acta Biomater,2024,183,,341-355,10.1016/j.actbio.2024.06.001,,,,,2024-07-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38849023
34514990,,"Nanotherapeutics for Alzheimer's Disease with Preclinical Evaluation and Clinical Trials: Challenges, Promises and Limitations.",Curr Drug Deliv,2022,19,1,17-31,10.2174/1567201818666210910162750,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34514990
35738546,,Therapeutic nanotechnologies for Alzheimer's disease: A critical analysis of recent trends and findings.,Adv Drug Deliv Rev,2022,187,,114397,10.1016/j.addr.2022.114397,,,,,2022-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35738546
32515318,,Technology Use among Family Caregivers of People with Dementia.,Can J Aging,2021,40,2,331-343,10.1017/S0714980820000094,,,,,2021-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32515318
28774215,,"Smartphone-Based Health Technologies for Dementia Care: Opportunities, Challenges, and Current Practices.",J Appl Gerontol,2019,38,1,73-91,10.1177/0733464817723088,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28774215
35811531,,The Use of Digital Technology to Assess Cognitive Function in Tunisian Adults.,J Alzheimers Dis,2022,88,4,1545-1552,10.3233/JAD-220398,,,,,2022-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35811531
37910289,,Differential eye movement features between Alzheimer's disease patients with and without depressive symptoms.,Aging Clin Exp Res,2023,35,12,2987-2996,10.1007/s40520-023-02595-5,,,,,2023-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37910289
40039162,,The Development of an Alzheimer's Diagnostic Sensor and Algorithm using Microsaccades Biomarkers.,Annu Int Conf IEEE Eng Med Biol Soc,2024,2024,,1-4,10.1109/EMBC53108.2024.10781816,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40039162
31957510,,Alzheimer's disease: review of current nanotechnological therapeutic strategies.,Expert Rev Neurother,2020,20,3,271-279,10.1080/14737175.2020.1719069,,,,,2020-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31957510
38565072,,Socially Assistive Robots for patients with Alzheimer's Disease: A scoping review.,Arch Gerontol Geriatr,2024,123,,105409,10.1016/j.archger.2024.105409,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38565072
39408961,,Intrathecal Immunoselective Nanopheresis for Alzheimer's Disease: What and How? Why and When?,Int J Mol Sci,2024,25,19,,10.3390/ijms251910632,,,,,2024-10-02T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39408961
39563218,,Unraveling the Mysteries of Alzheimer's Disease Using Artificial Intelligence.,Rev Recent Clin Trials,2025,20,2,124-141,10.2174/0115748871330861241030143321,,,,,2025-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39563218
31247628,,From Smart Homes to Smart-Ready Homes and Communities.,Dement Geriatr Cogn Disord,2019,47,3,157-163,10.1159/000497803,,,,,2019-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31247628
32340267,,Fluorinated Molecules and Nanotechnology: Future 'Avengers' against the Alzheimer's Disease?,Int J Mol Sci,2020,21,8,,10.3390/ijms21082989,,,,,2020-04-23T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32340267
40551529,,Management of Alzheimer's Disease With Nanotechnological Interventions and Novel Therapeutics.,Drug Dev Res,2025,86,5,e70120,10.1002/ddr.70120,,,,,2025-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40551529
40285380,,Developing digital health technologies for frontotemporal degeneration.,Alzheimers Dement,2025,21,4,e70082,10.1002/alz.70082,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40285380
32870437,,A short digital eye-tracking assessment predicts cognitive status among adults.,Geroscience,2021,43,1,297-308,10.1007/s11357-020-00254-5,,,,,2021-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32870437
32961984,,Analyzing Facial and Eye Movements to Screen for Alzheimer's Disease.,Sensors (Basel),2020,20,18,,10.3390/s20185349,,,,,2020-09-18T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32961984
39321523,,Unveiling the theranostic potential of SPIONs in Alzheimer's disease management.,J Psychiatr Res,2024,179,,244-256,10.1016/j.jpsychires.2024.09.022,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39321523
34299575,,Nanomaterials for Modulating the Aggregation of β-Amyloid Peptides.,Molecules,2021,26,14,,10.3390/molecules26144301,,,,,2021-07-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34299575
39508340,,Technology that CARES: Enhancing dementia care through everyday technologies.,Alzheimers Dement,2024,20,12,8969-8978,10.1002/alz.14192,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39508340
36903581,,Cell Membrane Biomimetic Nanoparticles with Potential in Treatment of Alzheimer's Disease.,Molecules,2023,28,5,,10.3390/molecules28052336,,,,,2023-03-03T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36903581
32125540,,Eye tracking metrics to screen and assess cognitive impairment in patients with neurological disorders.,Neurol Sci,2020,41,7,1697-1704,10.1007/s10072-020-04310-y,,,,,2020-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32125540
37515584,,Webcam-Based Eye-Tracking of Attentional Biases in Alzheimer's Disease: A Proof-Of-Concept Study.,Clin Gerontol,2024,47,1,98-109,10.1080/07317115.2023.2240783,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37515584
39865315,,RADAR-AD: assessment of multiple remote monitoring technologies for early detection of Alzheimer's disease.,Alzheimers Res Ther,2025,17,1,29,10.1186/s13195-025-01675-0,,,,,2025-01-27T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39865315
32749977,,Augmenting Dementia Cognitive Assessment With Instruction-Less Eye-Tracking Tests.,IEEE J Biomed Health Inform,2020,24,11,3066-3075,10.1109/JBHI.2020.3004686,,,,,2020-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32749977
30658419,,Review of Current Strategies for Delivering Alzheimer's Disease Drugs across the Blood-Brain Barrier.,Int J Mol Sci,2019,20,2,,10.3390/ijms20020381,,,,,2019-01-17T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/30658419
34960353,,Wearable GPS and Accelerometer Technologies for Monitoring Mobility and Physical Activity in Neurodegenerative Disorders: A Systematic Review.,Sensors (Basel),2021,21,24,,10.3390/s21248261,,,,,2021-12-10T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/34960353
27862176,,"Inflammasomes, hormesis, and antioxidants in neuroinflammation: Role of NRLP3 in Alzheimer disease.",J Neurosci Res,2017,95,7,1360-1372,10.1002/jnr.23986,,,,,2017-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/27862176
36736612,,Comparison of Machine Learning-based Approaches to Predict the Conversion to Alzheimer's Disease from Mild Cognitive Impairment.,Neuroscience,2023,514,,143-152,10.1016/j.neuroscience.2023.01.029,,,,,2023-03-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36736612
32632432,,"Half a century of amyloids: past, present and future.",Chem Soc Rev,2020,49,15,5473-5509,10.1039/c9cs00199a,,,,,2020-08-07T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/32632432
28009724,,Current opinion in Alzheimer's disease therapy by nanotechnology-based approaches.,Curr Opin Psychiatry,2017,30,2,128-135,10.1097/YCO.0000000000000310,,,,,2017-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/28009724
31304982,,Advancements in nanotherapeutics for Alzheimer's disease: current perspectives.,J Pharm Pharmacol,2019,71,9,1370-1383,10.1111/jphp.13132,,,,,2019-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/31304982
38446291,,"""Inside Out of Mind"": Alternative Realities, Dementia and Graphic Medicine.",J Med Humanit,2024,45,2,171-184,10.1007/s10912-023-09840-y,,,,,2024-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38446291
33602090,,Alzheimer's Disease and its Related Dementia Types: A Review on Their Management Via Nanotechnology Based Therapeutic Strategies.,Curr Alzheimer Res,2020,17,14,1239-1261,10.2174/1567205018666210218160812,,,,,2020-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33602090
33533863,,Dependent aging: what does cinema show?,Cien Saude Colet,2021,26,1,67-76,10.1590/1413-81232020261.31362020,,,,,2021-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33533863
36219131,,Computer-based Eye-tracking Analysis of King-Devick Test Differentiates Persons With Idiopathic Normal Pressure Hydrocephalus From Cognitively Unimpaired.,Alzheimer Dis Assoc Disord,2022,36,4,340-346,10.1097/WAD.0000000000000527,,,,,2022-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36219131
29243575,,"Nanomedicine Strategies for Sustained, Controlled and Targeted Treatment of Alzheimer's Disease.",Mini Rev Med Chem,2018,18,12,1035-1046,10.2174/1389557518666171215150024,,,,,2018-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/29243575
33499311,,Nanotechnology Therapy for Alzheimer's Disease Memory Impairment Attenuation.,Int J Mol Sci,2021,22,3,,10.3390/ijms22031102,,,,,2021-01-22T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/33499311
38351689,,"Designing and Formulation of Nanocarriers for ""Alzheimer's and Parkinson's"" Early Detection and Therapy.",CNS Neurol Disord Drug Targets,2024,23,10,1251-1262,10.2174/0118715273297024240201055550,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38351689
35062167,,The Use of Robotics in Dementia Care: An Ethical Perspective.,Stud Health Technol Inform,2022,289,,362-366,10.3233/SHTI210934,,,,,2022-01-14T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/35062167
