pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url,query
40185527,,Surgical Treatments of Parkinson's Disease.,Neurol Clin,2025,43,2,383-397,10.1016/j.ncl.2024.12.012,,,,,2025-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40185527,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
36411569,,Surgical Advances in Parkinson's Disease.,Curr Neuropharmacol,2024,22,6,1033-1046,10.2174/1570159X21666221121094343,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36411569,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39236299,,Innovative technology-based interventions in Parkinson's disease: A systematic review and meta-analysis.,Ann Clin Transl Neurol,2024,11,10,2548-2562,10.1002/acn3.52160,,,,,2024-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39236299,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
40193128,,Subthalamic Deep Brain Stimulation: Mapping Non-Motor Outcomes to Structural Connections.,Hum Brain Mapp,2025,46,5,e70207,10.1002/hbm.70207,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40193128,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39225548,,Quality of Life after Deep Brain Stimulation in Parkinson's Disease: Does the Target Matter?,Mov Disord Clin Pract,2024,11,11,1379-1387,10.1002/mdc3.14199,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39225548,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39427845,,Multiomics approach discloses lipids and metabolites profiles associated to Parkinson's disease stages and applied therapies.,Neurobiol Dis,2024,202,,106698,10.1016/j.nbd.2024.106698,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39427845,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39666124,,Survey of common deep brain stimulation programming practices by experts in Parkinson's Disease.,J Neurol,2024,272,1,49,10.1007/s00415-024-12751-0,,,,,2024-12-12T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39666124,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38111224,,Left Vagus Stimulation Modulates Contralateral Subthalamic β Power Improving the Gait in Parkinson's Disease.,Mov Disord,2024,39,2,424-428,10.1002/mds.29690,,,,,2024-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38111224,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39327912,,Inhibitor Development for α-Synuclein Fibril's Disordered Region to Alleviate Parkinson's Disease Pathology.,J Am Chem Soc,2024,146,41,28282-28295,10.1021/jacs.4c08869,,,,,2024-10-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39327912,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
40140380,,Gamma entrainment induced by deep brain stimulation as a biomarker for motor improvement with neuromodulation.,Nat Commun,2025,16,1,2956,10.1038/s41467-025-58132-7,,,,,2025-03-26T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40140380,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39143345,,Machine learning and wearable sensors for automated Parkinson's disease diagnosis aid: a systematic review.,J Neurol,2024,271,10,6452-6470,10.1007/s00415-024-12611-x,,,,,2024-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39143345,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
40000338,,Impact of deep brain stimulation on cognitive impairment in Parkinson's disease: A retrospective longitudinal study.,Neurotherapeutics,2025,22,3,e00561,10.1016/j.neurot.2025.e00561,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40000338,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38424473,,Circuit-Specific Deep Brain Stimulation Provides Insights into Movement Control.,Annu Rev Neurosci,2024,47,1,63-83,10.1146/annurev-neuro-092823-104810,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38424473,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38821395,,Electrophysiological sweet spot mapping in deep brain stimulation for Parkinson's disease patients.,Brain Stimul,2024,17,4,794-801,10.1016/j.brs.2024.05.013,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38821395,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39433562,,BMI and deep brain stimulation: A comprehensive review and future directions with AI integration.,Neurosurg Rev,2024,47,1,808,10.1007/s10143-024-03041-4,,,,,2024-10-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39433562,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39377860,,Exploring adverse effects of deep brain stimulation: the need for personalized care and long-term monitoring.,Neurosurg Rev,2024,47,1,756,10.1007/s10143-024-03042-3,,,,,2024-10-08T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39377860,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39357432,,Cognitive phenotyping of GBA1-Parkinson's disease: A study on deep brain stimulation outcomes.,Parkinsonism Relat Disord,2024,128,,107127,10.1016/j.parkreldis.2024.107127,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39357432,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39058451,,Risk Factors for Postoperative Delirium Severity After Deep Brain Stimulation Surgery in Parkinson's Disease.,J Parkinsons Dis,2024,14,6,1175-1192,10.3233/JPD-230276,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39058451,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
40841722,,Integrating artificial intelligence and optogenetics for Parkinson's disease diagnosis and therapeutics in male mice.,Nat Commun,2025,16,1,7797,10.1038/s41467-025-63025-w,,,,,2025-08-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40841722,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38501317,,Differential Cognitive Effects of Unilateral Subthalamic Nucleus Deep Brain Stimulation for Parkinson's Disease.,Ann Neurol,2024,95,6,1205-1219,10.1002/ana.26903,,,,,2024-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38501317,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39602897,,Subthalamic Deep Brain Stimulation under General Anaesthesia for Parkinson's Disease: Institutional Experience and Outcomes.,Stereotact Funct Neurosurg,2025,103,2,102-110,10.1159/000542791,,,,,2025-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39602897,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39292457,,A Patient-Centered Perspective on Changes in Personal Characteristics After Deep Brain Stimulation.,JAMA Netw Open,2024,7,9,e2434255,10.1001/jamanetworkopen.2024.34255,,,,,2024-09-03T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39292457,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38422743,,Minimizing pneumocephalus during deep brain stimulation surgery.,Clin Neurol Neurosurg,2024,238,,108174,10.1016/j.clineuro.2024.108174,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38422743,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39300838,,"Interaction of motor behaviour, cortical oscillations and deep brain stimulation in Parkinson's disease.",Brain,2025,148,3,886-895,10.1093/brain/awae300,,,,,2025-03-06T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39300838,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39175366,,Automated Sleep Detection in Movement Disorders Using Deep Brain Stimulation and Machine Learning.,Mov Disord,2024,39,11,2097-2102,10.1002/mds.29987,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39175366,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39304337,,Directional deep brain stimulation electrodes in Parkinson's disease: meta-analysis and systematic review of the literature.,J Neurol Neurosurg Psychiatry,2025,96,2,188-198,10.1136/jnnp-2024-333947,,,,,2025-01-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39304337,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39962903,,Unilateral and Bilateral Subthalamic Deep Brain Stimulation Differently Favour Apathy in Parkinson's Disease.,Eur J Neurosci,2025,61,4,e70019,10.1111/ejn.70019,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39962903,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39056611,,Non-Invasive Brain Sensing Technologies for Modulation of Neurological Disorders.,Biosensors (Basel),2024,14,7,,10.3390/bios14070335,,,,,2024-07-09T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39056611,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38728329,,"Speech, voice, and language outcomes following deep brain stimulation: A systematic review.",PLoS One,2024,19,5,e0302739,10.1371/journal.pone.0302739,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38728329,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38931743,,Insights into Parkinson's Disease-Related Freezing of Gait Detection and Prediction Approaches: A Meta Analysis.,Sensors (Basel),2024,24,12,,10.3390/s24123959,,,,,2024-06-18T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38931743,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
39393673,,The zona incerta system: Involvement in Parkinson's disease.,Exp Neurol,2024,382,,114992,10.1016/j.expneurol.2024.114992,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39393673,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38498664,,Effects of Deep-Brain Stimulation on Speech: Perceptual and Acoustic Data.,J Speech Lang Hear Res,2024,67,4,1090-1106,10.1044/2024_JSLHR-23-00511,,,,,2024-04-08T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38498664,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
38940083,,Deep Brain Stimulation Mechanisms in Parkinson's Disease: Immediate and Long-Term Effects.,J Integr Neurosci,2024,23,6,114,10.31083/j.jin2306114,,,,,2024-06-13T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38940083,"(""Parkinson Disease""[MeSH Terms] OR parkinson*[Title/Abstract]) AND (technology OR technologies OR wearable* OR sensor* OR ""digital biomarker*"" OR smartphone* OR ""mobile app*"" OR ""deep brain stimulation"" OR DBS OR ""machine learning"" OR ""artificial intelligence"" OR AI) AND (2024:2025[dp]) AND humans[MeSH Terms]"
