pmid,pmcid,title,journal,year,volume,issue,pages,doi,authors,first_author,last_author,epubdate,pubdate,mesh,affiliations,url
36411569,,Surgical Advances in Parkinson's Disease.,Curr Neuropharmacol,2024,22,6,1033-1046,10.2174/1570159X21666221121094343,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/36411569
39236299,,Innovative technology-based interventions in Parkinson's disease: A systematic review and meta-analysis.,Ann Clin Transl Neurol,2024,11,10,2548-2562,10.1002/acn3.52160,,,,,2024-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39236299
40193128,,Subthalamic Deep Brain Stimulation: Mapping Non-Motor Outcomes to Structural Connections.,Hum Brain Mapp,2025,46,5,e70207,10.1002/hbm.70207,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40193128
39225548,,Quality of Life after Deep Brain Stimulation in Parkinson's Disease: Does the Target Matter?,Mov Disord Clin Pract,2024,11,11,1379-1387,10.1002/mdc3.14199,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39225548
39427845,,Multiomics approach discloses lipids and metabolites profiles associated to Parkinson's disease stages and applied therapies.,Neurobiol Dis,2024,202,,106698,10.1016/j.nbd.2024.106698,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39427845
39666124,,Survey of common deep brain stimulation programming practices by experts in Parkinson's Disease.,J Neurol,2024,272,1,49,10.1007/s00415-024-12751-0,,,,,2024-12-12T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39666124
38111224,,Left Vagus Stimulation Modulates Contralateral Subthalamic β Power Improving the Gait in Parkinson's Disease.,Mov Disord,2024,39,2,424-428,10.1002/mds.29690,,,,,2024-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38111224
39327912,,Inhibitor Development for α-Synuclein Fibril's Disordered Region to Alleviate Parkinson's Disease Pathology.,J Am Chem Soc,2024,146,41,28282-28295,10.1021/jacs.4c08869,,,,,2024-10-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39327912
40140380,,Gamma entrainment induced by deep brain stimulation as a biomarker for motor improvement with neuromodulation.,Nat Commun,2025,16,1,2956,10.1038/s41467-025-58132-7,,,,,2025-03-26T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40140380
39143345,,Machine learning and wearable sensors for automated Parkinson's disease diagnosis aid: a systematic review.,J Neurol,2024,271,10,6452-6470,10.1007/s00415-024-12611-x,,,,,2024-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39143345
40000338,,Impact of deep brain stimulation on cognitive impairment in Parkinson's disease: A retrospective longitudinal study.,Neurotherapeutics,2025,22,3,e00561,10.1016/j.neurot.2025.e00561,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40000338
38424473,,Circuit-Specific Deep Brain Stimulation Provides Insights into Movement Control.,Annu Rev Neurosci,2024,47,1,63-83,10.1146/annurev-neuro-092823-104810,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38424473
38821395,,Electrophysiological sweet spot mapping in deep brain stimulation for Parkinson's disease patients.,Brain Stimul,2024,17,4,794-801,10.1016/j.brs.2024.05.013,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38821395
39433562,,BMI and deep brain stimulation: A comprehensive review and future directions with AI integration.,Neurosurg Rev,2024,47,1,808,10.1007/s10143-024-03041-4,,,,,2024-10-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39433562
39377860,,Exploring adverse effects of deep brain stimulation: the need for personalized care and long-term monitoring.,Neurosurg Rev,2024,47,1,756,10.1007/s10143-024-03042-3,,,,,2024-10-08T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39377860
39357432,,Cognitive phenotyping of GBA1-Parkinson's disease: A study on deep brain stimulation outcomes.,Parkinsonism Relat Disord,2024,128,,107127,10.1016/j.parkreldis.2024.107127,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39357432
39058451,,Risk Factors for Postoperative Delirium Severity After Deep Brain Stimulation Surgery in Parkinson's Disease.,J Parkinsons Dis,2024,14,6,1175-1192,10.3233/JPD-230276,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39058451
40841722,,Integrating artificial intelligence and optogenetics for Parkinson's disease diagnosis and therapeutics in male mice.,Nat Commun,2025,16,1,7797,10.1038/s41467-025-63025-w,,,,,2025-08-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40841722
38501317,,Differential Cognitive Effects of Unilateral Subthalamic Nucleus Deep Brain Stimulation for Parkinson's Disease.,Ann Neurol,2024,95,6,1205-1219,10.1002/ana.26903,,,,,2024-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38501317
39602897,,Subthalamic Deep Brain Stimulation under General Anaesthesia for Parkinson's Disease: Institutional Experience and Outcomes.,Stereotact Funct Neurosurg,2025,103,2,102-110,10.1159/000542791,,,,,2025-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39602897
39292457,,A Patient-Centered Perspective on Changes in Personal Characteristics After Deep Brain Stimulation.,JAMA Netw Open,2024,7,9,e2434255,10.1001/jamanetworkopen.2024.34255,,,,,2024-09-03T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39292457
38422743,,Minimizing pneumocephalus during deep brain stimulation surgery.,Clin Neurol Neurosurg,2024,238,,108174,10.1016/j.clineuro.2024.108174,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38422743
39300838,,"Interaction of motor behaviour, cortical oscillations and deep brain stimulation in Parkinson's disease.",Brain,2025,148,3,886-895,10.1093/brain/awae300,,,,,2025-03-06T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39300838
39175366,,Automated Sleep Detection in Movement Disorders Using Deep Brain Stimulation and Machine Learning.,Mov Disord,2024,39,11,2097-2102,10.1002/mds.29987,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39175366
39304337,,Directional deep brain stimulation electrodes in Parkinson's disease: meta-analysis and systematic review of the literature.,J Neurol Neurosurg Psychiatry,2025,96,2,188-198,10.1136/jnnp-2024-333947,,,,,2025-01-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39304337
39962903,,Unilateral and Bilateral Subthalamic Deep Brain Stimulation Differently Favour Apathy in Parkinson's Disease.,Eur J Neurosci,2025,61,4,e70019,10.1111/ejn.70019,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39962903
39056611,,Non-Invasive Brain Sensing Technologies for Modulation of Neurological Disorders.,Biosensors (Basel),2024,14,7,,10.3390/bios14070335,,,,,2024-07-09T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39056611
38728329,,"Speech, voice, and language outcomes following deep brain stimulation: A systematic review.",PLoS One,2024,19,5,e0302739,10.1371/journal.pone.0302739,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38728329
38931743,,Insights into Parkinson's Disease-Related Freezing of Gait Detection and Prediction Approaches: A Meta Analysis.,Sensors (Basel),2024,24,12,,10.3390/s24123959,,,,,2024-06-18T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38931743
39393673,,The zona incerta system: Involvement in Parkinson's disease.,Exp Neurol,2024,382,,114992,10.1016/j.expneurol.2024.114992,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39393673
38498664,,Effects of Deep-Brain Stimulation on Speech: Perceptual and Acoustic Data.,J Speech Lang Hear Res,2024,67,4,1090-1106,10.1044/2024_JSLHR-23-00511,,,,,2024-04-08T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38498664
38940083,,Deep Brain Stimulation Mechanisms in Parkinson's Disease: Immediate and Long-Term Effects.,J Integr Neurosci,2024,23,6,114,10.31083/j.jin2306114,,,,,2024-06-13T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38940083
40365721,,Deep Brain Stimulation in Parkinson's Disease Patients Over 75 Years of Age: A Single-Institution Retrospective Analysis.,CNS Neurosci Ther,2025,31,5,e70397,10.1111/cns.70397,,,,,2025-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40365721
38286119,,Brain Shift during Staged Deep Brain Stimulation for Movement Disorders.,Stereotact Funct Neurosurg,2024,102,2,83-92,10.1159/000535197,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38286119
38934196,,Surgical Complications in Subthalamic Nucleus Deep Brain Stimulation for Parkinson's Disease: Experience in 800 Patients.,Stereotact Funct Neurosurg,2024,102,5,275-283,10.1159/000539483,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38934196
39302783,,Closed-Loop Deep Brain Stimulation With Reinforcement Learning and Neural Simulation.,IEEE Trans Neural Syst Rehabil Eng,2024,32,,3615-3624,10.1109/TNSRE.2024.3465243,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39302783
38015368,,Cost Effectiveness of Deep Brain Stimulation for Parkinson's Disease: A Systematic Review.,Appl Health Econ Health Policy,2024,22,2,181-192,10.1007/s40258-023-00848-y,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38015368
39722165,,Altered Cognitive Networks Connectivity in Parkinson's Disease During the Microlesion Period After Deep Brain Stimulation.,CNS Neurosci Ther,2024,30,12,e70184,10.1111/cns.70184,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39722165
40202094,,Noninvasive Temporal Interference Stimulation of the Subthalamic Nucleus in Parkinson's Disease Reduces Beta Activity.,Mov Disord,2025,40,6,1051-1060,10.1002/mds.30134,,,,,2025-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40202094
39007445,,Pilot Study of Acute Behavioral Effects of Pallidal Burst Stimulation in Parkinson's Disease.,Mov Disord,2024,39,10,1873-1877,10.1002/mds.29928,,,,,2024-10-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39007445
38608373,,Dissecting deep brain stimulation evoked neural activity in the basal ganglia.,Neurotherapeutics,2024,21,3,e00356,10.1016/j.neurot.2024.e00356,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38608373
38870732,,Unraveling sex differences in Parkinson's disease through explainable machine learning.,J Neurol Sci,2024,462,,123091,10.1016/j.jns.2024.123091,,,,,2024-07-15T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38870732
40749017,,"Deep brain stimulation surgical timing, outcomes, and prognostic factors in patients with Parkinson's disease: A Chinese retrospective multicenter cohort study.",PLoS Med,2025,22,8,e1004670,10.1371/journal.pmed.1004670,,,,,2025-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40749017
39755176,,Drug repositioning for Parkinson's disease: An emphasis on artificial intelligence approaches.,Ageing Res Rev,2025,104,,102651,10.1016/j.arr.2024.102651,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39755176
38604582,,The STRAT-PARK cohort: A personalized initiative to stratify Parkinson's disease.,Prog Neurobiol,2024,236,,102603,10.1016/j.pneurobio.2024.102603,,,,,2024-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38604582
38335523,,Electrode position and cognitive outcome following deep brain stimulation surgery.,J Neurosurg,2024,141,1,230-240,10.3171/2023.11.JNS232164,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38335523
39613480,,Digital Outcomes as Biomarkers of Disease Progression in Early Parkinson's Disease: A Systematic Review.,Mov Disord,2025,40,2,184-203,10.1002/mds.30056,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39613480
38801752,,"Parkinson's Disease: Coping Strategies, Cognitive Restructuring and Deep Brain Stimulation.",J Geriatr Psychiatry Neurol,2024,37,6,448-460,10.1177/08919887241248831,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38801752
39842912,,Digital health technologies and self-efficacy in Parkinson's: a scoping review.,BMJ Open,2025,15,1,e088616,10.1136/bmjopen-2024-088616,,,,,2025-01-21T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39842912
39513712,,Electrode Location and Domain-Specific Cognitive Change Following Subthalamic Nucleus Deep Brain Stimulation for Parkinson's Disease.,Neurosurgery,2024,97,1,148-156,10.1227/neu.0000000000003271,,,,,2024-11-08T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39513712
39666104,,Effectiveness of robot-assisted training in adults with Parkinson's disease: a systematic review and meta-analysis.,J Neurol,2024,272,1,22,10.1007/s00415-024-12798-z,,,,,2024-12-12T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39666104
38086346,,Perspectives of Implementation of Closed-Loop Deep Brain Stimulation: From Neurological to Psychiatric Disorders.,Stereotact Funct Neurosurg,2024,102,1,40-54,10.1159/000535114,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38086346
38653485,,Fundamentals of deep brain stimulation for Parkinson's disease in clinical practice: part 1.,Arq Neuropsiquiatr,2024,82,4,1-9,10.1055/s-0044-1786026,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38653485
38894532,,Individualized Structural Perturbations on Normative Brain Connectome Restrict Deep Brain Stimulation Outcomes in Parkinson's Disease.,Mov Disord,2024,39,8,1352-1363,10.1002/mds.29874,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38894532
39578305,,Risk factors for delirium occurring after deep brain stimulation surgery in patients with Parkinson's disease.,Acta Neurochir (Wien),2024,166,1,474,10.1007/s00701-024-06330-5,,,,,2024-11-23T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39578305
38991885,,Empowering the management of early-onset Parkinson's disease: The role of technology.,Parkinsonism Relat Disord,2024,129,,107052,10.1016/j.parkreldis.2024.107052,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38991885
39726415,,Bilateral Lesions in Parkinson's Disease: Gaps and Controversies.,Mov Disord,2025,40,2,231-240,10.1002/mds.30090,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39726415
39001725,,How Long Does Deep Brain Stimulation Give Patients Benefit?,Neuromodulation,2025,28,3,472-483,10.1016/j.neurom.2024.05.007,,,,,2025-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39001725
39283500,,The effect of subthalamic nucleus deep brain stimulation on speech performance: a prospective clinical and tractography study.,Acta Neurochir (Wien),2024,166,1,369,10.1007/s00701-024-06257-x,,,,,2024-09-16T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39283500
39392604,,Self-Management Systems for Patients and Clinicians in Parkinson's Disease Care: A Scoping Review.,J Parkinsons Dis,2024,14,7,1387-1404,10.3233/JPD-240137,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39392604
37415081,,"Closing the loop in psychiatric deep brain stimulation: physiology, psychometrics, and plasticity.",Neuropsychopharmacology,2024,49,1,138-149,10.1038/s41386-023-01643-y,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37415081
39957202,,Atrophy-related corticospinal changes in advanced Parkinson's disease are associated with the genetic etiology of the disease.,J Parkinsons Dis,2024,14,8,1584-1593,10.3233/JPD-240267,,,,,2024-11-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39957202
38836819,,Treatment of Parkinson's disease by deep brain stimulation: a bibliometric analysis.,Sao Paulo Med J,2024,142,5,e2023187,10.1590/1516-3180.2023.0187.R1.04032024,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38836819
38843788,,Deep brain stimulation pulse sequences to optimally modulate frequency-specific neural activity.,J Neural Eng,2024,21,3,,10.1088/1741-2552/ad54f0,,,,,2024-06-19T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38843788
38232609,,"Deep brain stimulation for movement disorders treatment in Africa: The current status, outcomes, and challenges.",Clin Neurol Neurosurg,2024,236,,108113,10.1016/j.clineuro.2023.108113,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38232609
40465731,,Type II kinase inhibitors that target Parkinson's disease-associated LRRK2.,Sci Adv,2025,11,23,eadt2050,10.1126/sciadv.adt2050,,,,,2025-06-06T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40465731
38439525,,Bibliometric Analysis of Brain Stimulation Technologies in Sleep Disorders.,Med Sci Monit,2024,30,,e942687,10.12659/MSM.942687,,,,,2024-03-05T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38439525
38844056,,Experimental Parkinson models and green chemistry approach.,Behav Brain Res,2024,471,,115092,10.1016/j.bbr.2024.115092,,,,,2024-08-05T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38844056
40374982,,Exploring the relationship between dystonia and STN-DBS in Parkinson's disease: insights from a single-centre cohort.,Neurol Sci,2025,46,8,3691-3701,10.1007/s10072-025-08230-7,,,,,2025-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40374982
37975788,,Caregivers' burden and deep brain stimulation for Parkinson disease: A systematic review of qualitative studies.,Eur J Neurol,2024,31,3,e16149,10.1111/ene.16149,,,,,2024-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37975788
39424108,,From prodromal stages to clinical trials: The promise of digital speech biomarkers in Parkinson's disease.,Neurosci Biobehav Rev,2024,167,,105922,10.1016/j.neubiorev.2024.105922,,,,,2024-12-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39424108
37879897,,Are patients with GBA-Parkinson disease good candidates for deep brain stimulation? A longitudinal multicentric study on a large Italian cohort.,J Neurol Neurosurg Psychiatry,2024,95,4,309-315,10.1136/jnnp-2023-332387,,,,,2024-03-13T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/37879897
38632492,,Discovery of potent inhibitors of α-synuclein aggregation using structure-based iterative learning.,Nat Chem Biol,2024,20,5,634-645,10.1038/s41589-024-01580-x,,,,,2024-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38632492
38429947,,Bidirectional Interplay between Deep Brain Stimulation and Cognition in Parkinson's Disease: A Systematic Review.,Mov Disord,2024,39,5,910-915,10.1002/mds.29772,,,,,2024-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38429947
38070393,,Impact of deep brain stimulation on gait in Parkinson disease: A kinematic study.,Gait Posture,2024,108,,151-156,10.1016/j.gaitpost.2023.12.002,,,,,2024-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38070393
39607456,,Effect of subthalamic and nigral deep brain stimulation on speech and voice in Parkinson's patients.,J Neural Transm (Vienna),2025,132,3,419-429,10.1007/s00702-024-02860-5,,,,,2025-03-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39607456
39843798,,Delirium after deep brain stimulation for Parkinson's disease: a meta-analysis of incidence and risk factors.,Neurosurg Rev,2025,48,1,73,10.1007/s10143-025-03206-9,,,,,2025-01-23T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39843798
39738347,,Revealing connectivity patterns of deep brain stimulation efficacy in Parkinson's disease.,Sci Rep,2024,14,1,31652,10.1038/s41598-024-80630-9,,,,,2024-12-30T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39738347
39520168,,State identification of Parkinson's disease based on transfer learning.,Technol Health Care,2024,32,6,4097-4107,10.3233/THC-231929,,,,,2024-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39520168
39973484,,New insights from a Malaysian real-world deep brain stimulation cohort.,J Parkinsons Dis,2025,15,1,189-201,10.1177/1877718X241297715,,,,,2025-02-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39973484
38471785,,Individual Structural Covariance Network Predicts Long-Term Motor Improvement in Parkinson Disease with Subthalamic Nucleus Deep Brain Stimulation.,AJNR Am J Neuroradiol,2024,45,8,1106-1115,10.3174/ajnr.A8245,,,,,2024-08-09T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38471785
38721781,,Disentangling Bradykinesia and Rigidity in Parkinson's Disease: Evidence from Short- and Long-Term Subthalamic Nucleus Deep Brain Stimulation.,Ann Neurol,2024,96,2,234-246,10.1002/ana.26961,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38721781
38701768,,Probabilistic stimulation mapping from intra-operative thalamic deep brain stimulation data in essential tremor.,J Neural Eng,2024,21,3,,10.1088/1741-2552/ad4742,,,,,2024-05-17T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38701768
40322847,,"Theta-Gamma Subthalamic Stimulation for Verbal Fluency in Parkinson's Disease: A Randomized, Crossover Trial.",Mov Disord,2025,40,6,1189-1194,10.1002/mds.30218,,,,,2025-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40322847
39089297,,Digital health technologies to strengthen patient-centred outcome assessment in clinical trials in inflammatory arthritis.,Lancet Rheumatol,2025,7,1,e55-e63,10.1016/S2665-9913(24)00186-3,,,,,2025-01-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39089297
38216697,,Directional deep brain stimulation in the management of Parkinson's disease: efficacy and constraints-an analytical appraisal.,Neurosurg Rev,2024,47,1,43,10.1007/s10143-023-02268-x,,,,,2024-01-13T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38216697
38969232,,Subthalamic nucleus local field potential stability in patients with Parkinson's disease.,Neurobiol Dis,2024,199,,106589,10.1016/j.nbd.2024.106589,,,,,2024-09-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38969232
38723583,,Outcomes after deep brain stimulation for elderly versus non-elderly patients with Parkinson's disease.,Clin Neurol Neurosurg,2024,242,,108319,10.1016/j.clineuro.2024.108319,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38723583
38460796,,Unraveling brain diseases: The promise of brain-on-a-chip models.,J Neurosci Methods,2024,405,,110105,10.1016/j.jneumeth.2024.110105,,,,,2024-05-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38460796
38573387,,Risk factors and intervention of caregiver burden in Parkinson's disease: a systematic review and meta-analysis.,Qual Life Res,2024,33,7,1753-1766,10.1007/s11136-024-03616-0,,,,,2024-07-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38573387
38853400,,Directional Deep Brain Stimulation Programming: Is the Segment Clearly Identifiable and Stable Over Time?,Mov Disord Clin Pract,2024,11,8,992-997,10.1002/mdc3.14120,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38853400
38642587,,Associations between Recreational Screen Time and Brain Health in Middle-Aged and Older Adults: A Large Prospective Cohort Study.,J Am Med Dir Assoc,2024,25,8,104990,10.1016/j.jamda.2024.03.010,,,,,2024-08-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38642587
38245382,,Towards therapeutic electrophysiological neurofeedback in Parkinson's disease.,Parkinsonism Relat Disord,2024,121,,106010,10.1016/j.parkreldis.2024.106010,,,,,2024-04-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/38245382
40172532,,Antero-Lateral Subthalamic Nucleus Theta Stimulation Improves Verbal Fluency in Parkinson's Disease.,Mov Disord,2025,40,6,1195-1199,10.1002/mds.30185,,,,,2025-06-01T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/40172532
39432676,,Basal ganglia theta power indexes trait anxiety in people with Parkinson's disease.,Brain,2025,148,4,1228-1241,10.1093/brain/awae313,,,,,2025-04-03T00:00:00,,,https://ncbi.nlm.nih.gov/pubmed/39432676
